Region,Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Park Accepted,Sens?,Record Status,Occurrence,Occurrence Tags,Nativeness,Nativeness Tags,Abundance,NPS Tags,Park Tags,Internal Park Tags,References,Observations,Vouchers,ExternalLinks,T&E,State Status,Ozone,GRank,SRank
,PINN,Pinnacles,Mammal,1,Artiodactyla,Bovidae,86816,183838.0,Active,Bos taurus,"aurochs, Aurochs, domestic cattle (feral), domesticated cattle",,Accepted,No,Approved,Present,,Non-native,,Occasional,Management Priority; Resident,,,,,,,,,,G5,
,PINN,Pinnacles,Mammal,1,Artiodactyla,Bovidae,95065,180715.0,Active,Capra hircus,"domestic goat, Goat, goat (feral)",,Accepted,No,Approved,Present,,Non-native,,Occasional,Management Priority,,,2.0,1.0,,,,,,GNA,CA: SNA
,PINN,Pinnacles,Mammal,1,Artiodactyla,Cervidae,95045,180698.0,Active,Odocoileus hemionus,"black-tailed deer, mule deer",,Accepted,No,Approved,Present,,Native,,Abundant,Breeder,,,2.0,,,,50,,,G5,CA: SNR
,PINN,Pinnacles,Mammal,1,Artiodactyla,Suidae,95073,180722.0,Active,Sus scrofa,"wild boar, pig, hog",,Accepted,No,Approved,Present,,Non-native,,Abundant,Management Priority; Breeder,,,2.0,,,,,,,G5,
,PINN,Pinnacles,Mammal,1,Carnivora,Canidae,93340,180599.0,Active,Canis latrans,Coyote,,Accepted,No,Approved,Present,,Native,,Abundant,Breeder,,,2.0,,,,SC,,,G5,CA: SNR
,PINN,Pinnacles,Mammal,1,Carnivora,Canidae,93352,180609.0,Active,Urocyon cinereoargenteus,"Common Gray Fox, Gray Fox",,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,2.0,,,,,,,G5,CA: SNR
,PINN,Pinnacles,Mammal,1,Carnivora,Felidae,93329,180589.0,Active,Felis silvestris,"Caucasian wildcat, European wildcat, Wildcat",,Accepted,No,Approved,Present,,Non-native,,Occasional,,,,,,,,,,,,
,PINN,Pinnacles,Mammal,1,Carnivora,Felidae,93322,180582.0,Active,Lynx rufus,Bobcat,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,2.0,,,,RT,,,G5,CA: SNR
,PINN,Pinnacles,Mammal,1,Carnivora,Felidae,260571,552479.0,Active,Puma concolor,"cougar, puma, mountain lion,",Felis concolor,Accepted,No,Approved,Present,,Native,,Uncommon,Resident,,,2.0,2.0,,,,CA: SC,,G5,CA: SNR
,PINN,Pinnacles,Mammal,1,Carnivora,Mephitidae,93300,180562.0,Active,Mephitis mephitis,Striped Skunk,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,2.0,,,,,,,G5,CA: SNR
,PINN,Pinnacles,Mammal,1,Carnivora,Mustelidae,93293,180556.0,Active,Mustela frenata,Long-tailed Weasel,,Accepted,No,Approved,Present,,Native,,Rare,Resident,,,2.0,,,,,,,,
,PINN,Pinnacles,Mammal,1,Carnivora,Mustelidae,93303,180565.0,Active,Taxidea taxus,North American Badger,,Accepted,No,Approved,Present,,Native,,Rare,Resident,,,2.0,,,,SC,CA: SSC,,G5,CA: S3
,PINN,Pinnacles,Mammal,1,Carnivora,Procyonidae,93316,180577.0,Active,Bassariscus astutus,"cacomistle, Ring-tail",,Accepted,No,Approved,Unconfirmed,,Native,,,,,,2.0,,,,SC,,,G5,CA: SNR
,PINN,Pinnacles,Mammal,1,Carnivora,Procyonidae,93314,180575.0,Active,Procyon lotor,"common raccoon, Northern Raccoon, Raccoon",,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,2.0,,,,,,,G5,CA: SNR
,PINN,Pinnacles,Mammal,1,Chiroptera,Molossidae,89602,180080.0,Active,Eumops perotis,"Greater Bonneted Bat, Western Bonneted Bat, Western Mastiff-bat",,Accepted,No,Approved,Present,,Native,,Common,Management Priority; Breeder,,,3.0,,,,,,,G4G5,CA: SNR
,PINN,Pinnacles,Mammal,1,Chiroptera,Molossidae,89607,180085.0,Active,Nyctinomops femorosaccus,Pocketed Free-tailed Bat,,Accepted,No,Approved,Probably Present,,Native,,,,,,1.0,,,,SC,CA: SSC,,G5,CA: S3
,PINN,Pinnacles,Mammal,1,Chiroptera,Molossidae,89608,180086.0,Active,Nyctinomops macrotis,Big Free-tailed Bat,,Accepted,No,Approved,Probably Present,,Native,,,,,,1.0,,,,SC,CA: SSC,,G5,CA: S3
,PINN,Pinnacles,Mammal,1,Chiroptera,Molossidae,89610,180088.0,Active,Tadarida brasiliensis,"Brazilian Free-tailed Bat, Mexican Free-tailed Bat",,Accepted,No,Approved,Present,,Native,,Abundant,Breeder,,,2.0,,,,,,,G5,CA: SNR
,PINN,Pinnacles,Mammal,1,Chiroptera,Vespertilionidae,88728,180006.0,Active,Antrozous pallidus,Pallid Bat,,Accepted,No,Approved,Present,,Native,,Common,Management Priority,,,2.0,,,,SC,CA: SSC,,G4,CA: S3
,PINN,Pinnacles,Mammal,1,Chiroptera,Vespertilionidae,115231,203452.0,Active,Corynorhinus townsendii,Townsends' Big-eared Bat,"Corynorhinus townsendii townsendii, Plecotus townsendii townsendii",Accepted,No,Approved,Present,,Native,,Common,Management Priority; Breeder,,,3.0,,2.0,,,CA: SSC,,G4,CA: S2
