Category: Travel

Week,Joshua Tree National Park: (United States)
2019-12-29,100
2020-01-05,68
2020-01-12,64
2020-01-19,72
2020-01-26,59
2020-02-02,57
2020-02-09,71
2020-02-16,80
2020-02-23,69
2020-03-01,69
2020-03-08,68
2020-03-15,66
2020-03-22,44
2020-03-29,30
2020-04-05,28
2020-04-12,28
2020-04-19,29
2020-04-26,30
2020-05-03,35
2020-05-10,40
2020-05-17,75
2020-05-24,67
2020-05-31,52
2020-06-07,62
2020-06-14,68
2020-06-21,64
2020-06-28,69
2020-07-05,59
2020-07-12,58
2020-07-19,72
2020-07-26,67
2020-08-02,67
2020-08-09,66
2020-08-16,69
2020-08-23,54
2020-08-30,57
2020-09-06,75
2020-09-13,59
2020-09-20,63
2020-09-27,60
2020-10-04,60
2020-10-11,64
2020-10-18,72
2020-10-25,66
2020-11-01,51
2020-11-08,74
2020-11-15,69
2020-11-22,81
2020-11-29,57
2020-12-06,57
2020-12-13,62
2020-12-20,77
2020-12-27,92
