Category: Travel

Week,Yosemite National Park: (United States)
2020-12-27,47
2021-01-03,36
2021-01-10,38
2021-01-17,36
2021-01-24,38
2021-01-31,44
2021-02-07,45
2021-02-14,47
2021-02-21,51
2021-02-28,63
2021-03-07,60
2021-03-14,61
2021-03-21,68
2021-03-28,76
2021-04-04,75
2021-04-11,81
2021-04-18,84
2021-04-25,79
2021-05-02,85
2021-05-09,86
2021-05-16,100
2021-05-23,98
2021-05-30,92
2021-06-06,90
2021-06-13,95
2021-06-20,87
2021-06-27,92
2021-07-04,87
2021-07-11,84
2021-07-18,81
2021-07-25,71
2021-08-01,70
2021-08-08,63
2021-08-15,63
2021-08-22,66
2021-08-29,71
2021-09-05,60
2021-09-12,68
2021-09-19,70
2021-09-26,61
2021-10-03,62
2021-10-10,53
2021-10-17,64
2021-10-24,56
2021-10-31,48
2021-11-07,50
2021-11-14,43
2021-11-21,45
2021-11-28,37
2021-12-05,34
2021-12-12,40
2021-12-19,47
2021-12-26,63
