Category: Travel

Month,Yosemite National Park: (United States)
2015-01,83
2015-02,72
2015-03,80
2015-04,84
2015-05,96
2015-06,92
2015-07,99
2015-08,96
2015-09,71
2015-10,53
2015-11,44
2015-12,45
2016-01,56
2016-02,62
2016-03,70
2016-04,71
2016-05,87
2016-06,91
2016-07,87
2016-08,76
2016-09,64
2016-10,54
2016-11,45
2016-12,45
2017-01,62
2017-02,63
2017-03,66
2017-04,76
2017-05,86
2017-06,98
2017-07,93
2017-08,77
2017-09,78
2017-10,53
2017-11,42
2017-12,40
2018-01,51
2018-02,52
2018-03,61
2018-04,72
2018-05,81
2018-06,89
2018-07,100
2018-08,85
2018-09,60
2018-10,71
2018-11,50
2018-12,54
2019-01,59
2019-02,69
2019-03,66
2019-04,67
2019-05,80
2019-06,88
2019-07,88
2019-08,78
2019-09,68
2019-10,53
2019-11,45
2019-12,41
2020-01,51
2020-02,52
2020-03,38
2020-04,29
2020-05,49
2020-06,89
2020-07,89
2020-08,96
2020-09,59
2020-10,46
2020-11,39
2020-12,32
2021-01,35
2021-02,55
2021-03,55
2021-04,64
2021-05,75
2021-06,82
2021-07,74
2021-08,60
2021-09,54
2021-10,43
2021-11,37
2021-12,37
2022-01,44
2022-02,58
2022-03,54
2022-04,61
2022-05,66
2022-06,72
2022-07,86
2022-08,55
2022-09,51
2022-10,43
2022-11,35
2022-12,38
2023-01,44
2023-02,57
2023-03,51
2023-04,53
2023-05,71
2023-06,92
2023-07,81
2023-08,61
2023-09,59
2023-10,48
2023-11,43
2023-12,39
2024-01,47
