Category: Travel

Week,Yosemite National Park: (United States)
2018-12-30,72
2019-01-06,62
2019-01-13,54
2019-01-20,58
2019-01-27,47
2019-02-03,53
2019-02-10,57
2019-02-17,66
2019-02-24,62
2019-03-03,64
2019-03-10,70
2019-03-17,62
2019-03-24,61
2019-03-31,63
2019-04-07,60
2019-04-14,68
2019-04-21,68
2019-04-28,67
2019-05-05,70
2019-05-12,80
2019-05-19,84
2019-05-26,88
2019-06-02,73
2019-06-09,72
2019-06-16,83
2019-06-23,82
2019-06-30,100
2019-07-07,72
2019-07-14,78
2019-07-21,77
2019-07-28,76
2019-08-04,87
2019-08-11,66
2019-08-18,68
2019-08-25,67
2019-09-01,62
2019-09-08,63
2019-09-15,56
2019-09-22,59
2019-09-29,55
2019-10-06,54
2019-10-13,46
2019-10-20,47
2019-10-27,38
2019-11-03,45
2019-11-10,38
2019-11-17,44
2019-11-24,46
2019-12-01,34
2019-12-08,33
2019-12-15,37
2019-12-22,52
2019-12-29,56
