CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6292806,2015,2016-02-25,9725,2015-06-15,1724,18966,,1,2,9,3500,0,1,3,,1,054,"RT 25","SHORE RD",7392.00,N,N,A,-,Y,SBT,5,25,-,-,56.390,H,-,S,Y,1,1,5,7,A,-,04,21703,,N,C,C,A,A,H,-,A,D,0,,,Y,Y,Y,,G,27,1,1,3,0,0,0,0,1,0,"- ","- ",36.940869999999997,-121.49624,"SAN BENITO",UNINCORPORATED,-121.45491629999999,36.921235080000002
6678020,2015,2016-02-02,9725,2015-07-05,1605,20952,,7,2,9,3500,0,1,3,,1,051,"RT 25","LA GLORIA RD",1056.00,S,N,A,-,Y,SBT,5,25,-,-,25.800,H,-,S,Y,1,1,1,1,A,-,08,22107,,N,F,A,A,A,H,-,A,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,1,1,"- ","- ",36.564,-121.1802,"SAN BENITO",UNINCORPORATED,-121.18051615,36.564153619999999
6812598,2015,2016-10-03,9725,2015-02-02,1455,19887,,1,2,9,3500,0,1,3,,1,054,"RT 25","RT 156",60.00,N,N,A,-,Y,SBT,5,25,-,-,54.060,H,-,S,Y,4,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",36.8964,-121.42824,"SAN BENITO",UNINCORPORATED,-121.42749831,36.895743160000002
6816600,2015,2016-09-13,9725,2015-02-01,0035,020365,,7,3,9,3500,0,1,3,,2,055,"RT 156","RT 25",0.00,,Y,A,-,Y,SBT,5,25,-,-,54.048,I,5,N,Y,3,0,4,2,A,-,12,21453,A,N,D,C,A,A,H,-,C,A,0,,,,Y,Y,Y,G,25,0,1,3,0,0,0,0,0,0,"- ","- ",36.89564,-121.42728,"SAN BENITO",UNINCORPORATED,-121.42736650000001,36.895607920000003
6854051,2015,2017-04-21,9725,2015-02-10,0045,20754,,2,3,9,3500,0,1,3,,1,054,"RT 25","SHORE RD",9504.00,N,N,A,-,Y,SBT,5,25,-,-,59.610,H,-,S,Y,1,1,0,1,A,-,08,22107,,N,E,I,A,-,H,-,D,D,0,,,,,Y,,D,22,0,0,0,0,0,0,0,0,0,"- ","- ",36.944400000000002,-121.50391,"SAN BENITO",UNINCORPORATED,-121.50463693,36.944726410000001
6917026,2015,2017-01-05,9725,2015-04-15,1800,20971,,3,2,9,3500,0,1,3,,1,054,"RT 25","FLYNN RD",528.00,N,N,A,-,Y,SBT,5,25,-,-,53.020,H,-,N,Y,4,0,1,2,A,-,01,23152,A,N,C,C,A,A,H,-,A,D,0,,,,,Y,Y,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",36.88335,-121.41670999999999,"SAN BENITO",UNINCORPORATED,-121.41649252000001,36.883228600000002
6947336,2015,2016-10-03,3501,2015-03-27,0549,10895,3050,5,5,4,3501,0,0,0,,0,DAY,"RT 25","SANTA ANA RD",0.00,,Y,A,-,Y,SBT,5,25,-,R,51.104,I,5,N,N,4,0,2,2,A,-,12,21453,A,N,D,C,A,A,H,-,C,A,0,,,Y,,Y,Y,C,03,0,0,2,0,0,0,0,0,1,"- ","- ",,,"SAN BENITO",HOLLISTER,-121.39074307999999,36.856209489999998
6947340,2015,2016-10-03,3501,2015-03-03,1753,1493,3501,2,5,4,3501,0,0,0,,0,GRA,"AIRLINE HWY","ENTERPRISE RD",0.00,,Y,A,-,Y,SBT,5,25,-,-,48.154,I,5,N,N,3,0,1,2,A,-,11,21950,B,N,G,B,D,A,H,-,B,A,0,Y,,,,Y,,N,60,0,1,0,0,1,0,0,0,0,"- ","- ",,,"SAN BENITO",HOLLISTER,-121.37036252999999,36.81924017
6948749,2015,2017-01-05,9725,2015-05-03,1620,18966,,7,2,9,3500,0,1,3,,1,054,"RT 25","WRIGHT RD",0.00,,Y,A,-,Y,SBT,5,25,-,-,51.924,I,5,S,Y,4,0,1,2,A,-,01,23152,A,F,D,C,A,A,H,-,A,A,0,,,,,Y,Y,A,07,0,0,1,0,0,0,0,0,0,"- ","- ",36.869590000000002,-121.40648,"SAN BENITO",UNINCORPORATED,-121.40650585,36.869580720000002
6950133,2015,2017-01-05,9725,2015-05-29,2310,020967,,5,3,9,3500,0,1,3,,1,051,"RT 25","LIVE OAK RD",12144.00,S,N,A,-,Y,SBT,5,25,-,R,31.210,H,-,S,Y,4,0,1,1,A,-,08,22107,,N,F,A,A,A,H,-,D,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",36.625450000000001,-121.22302999999999,"SAN BENITO",UNINCORPORATED,-121.22378732,36.626720409999997
