CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6292300,2015,2015-06-30,5407,2015-04-18,1637,M222,480,6,5,5,5407,0,0,0,,0,011,"PLAZA DR","RT 198",0.00,,Y,A,-,Y,TUL,6,198,-,R,4.626,R,4,W,Y,1,1,0,2,A,-,03,22350,,N,F,A,A,A,H,-,A,A,0,,,Y,,Y,Y,C,02,0,0,0,0,0,0,0,1,0,"- ",WO,,,TULARE,VISALIA,-119.39316354,36.327264309999997
6777975,2015,2016-10-20,9480,2015-01-09,1915,19258,,5,2,5,5407,0,1,3,,1,064,"RT 198","LINWOOD AV",5.00,W,N,A,-,Y,TUL,6,198,-,-,7.250,H,-,E,N,4,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,C,D,1,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",36.327350000000003,-119.34119,TULARE,VISALIA,-119.34092776999999,36.327392750000001
6782202,2015,2016-10-20,9480,2015-01-05,1403,012568,,1,2,9,5400,0,1,3,,1,064,"RT 198","CHINOWTH ST",798.00,W,N,A,-,Y,TUL,6,198,-,-,7.360,H,-,W,Y,4,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,1,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",36.327620000000003,-119.33917,TULARE,UNINCORPORATED,-119.33895858,36.327399739999997
6797242,2015,2016-10-20,9480,2015-01-14,0920,017291,,3,1,9,5400,0,1,3,,1,034,"RT 198","ROAD 64",0.00,,Y,E,-,Y,TUL,6,198,-,-,2.510,I,5,W,Y,2,0,2,3,A,-,09,21802,A,N,D,C,A,A,H,-,A,D,0,,,,Y,Y,,G,25,1,0,1,0,0,0,0,0,0,"- ","- ",36.32761,-119.43040999999999,TULARE,UNINCORPORATED,-119.430432,36.327561000000003
6797246,2015,2016-10-20,9480,2015-01-12,0730,017291,,1,1,9,5400,0,1,3,,1,034,"RT 198","ROAD 56",10.00,E,N,E,-,Y,TUL,6,198,-,-,1.500,H,-,E,Y,3,0,1,2,A,-,09,21801,A,N,D,C,A,B,H,-,A,D,0,,,,Y,Y,,G,25,0,1,0,0,0,0,0,0,0,"- ","- ",36.327330000000003,-119.44817999999999,TULARE,UNINCORPORATED,-119.44854091000001,36.327339969999997
6797476,2015,2016-10-20,9480,2015-01-16,1535,017790,,5,2,5,5407,0,1,3,,1,064,"RT 198","MOONEY BL",1056.00,E,N,A,-,Y,TUL,6,198,-,R,8.760,H,-,W,N,4,0,1,2,A,-,07,21658,A,N,B,C,A,A,H,-,A,D,1,,,,,Y,,A,08,0,0,1,0,0,0,0,0,0,"- ","- ",36.327089999999998,-119.30793,TULARE,VISALIA,-119.31393335,36.32700354
6811386,2015,2016-10-20,9480,2015-01-20,1845,16856,,2,2,9,5400,0,1,3,,1,034,"RT 198","RT 99",20.00,W,N,B,-,Y,TUL,6,198,-,R,38.688,R,1,W,Y,4,0,1,1,C,-,18,,,N,E,J,A,B,H,-,C,D,0,,,,,Y,,-,"- ",0,0,1,0,0,0,0,0,0,WO,"- ",36.326259999999998,-119.40716999999999,TULARE,UNINCORPORATED,-118.90424650999999,36.44052507
6811438,2015,2016-10-20,9480,2015-01-25,0750,13821,,7,1,5,5407,0,1,3,,1,064,"RT 198","BEN MADDOX WY",453.00,W,N,E,-,Y,TUL,6,198,-,R,10.813,R,2,W,Y,3,0,1,1,A,-,03,22350,,N,F,I,A,B,H,-,A,D,1,,,,,Y,,D,22,0,1,0,0,0,0,0,0,0,"- ","- ",36.326639999999998,-119.27667,TULARE,VISALIA,-119.2771492,36.326509639999998
6811928,2015,2016-10-20,9480,2015-01-25,1345,013821,,7,1,9,5400,0,1,3,,1,044,"RT 198","SIERRA DR",1584.00,E,N,A,-,Y,TUL,6,198,-,-,43.760,H,-,W,Y,3,0,1,1,A,-,03,22350,,N,F,I,A,A,H,-,A,D,0,,,Y,,Y,,C,02,0,1,0,0,0,0,0,0,1,"- ","- ",35.534199999999998,-120.03,TULARE,UNINCORPORATED,-118.84314857,36.478065399999998
6811983,2015,2016-10-20,9480,2015-01-16,1510,020612,,5,2,5,5407,0,1,3,,1,064,"RT 198","AKERS ST",100.00,W,N,A,-,Y,TUL,6,198,-,-,6.730,H,-,E,Y,4,0,2,2,A,-,03,22350,,N,C,C,A,A,B,H,A,D,1,,,,,Y,,A,01,0,0,2,0,0,0,0,0,0,"- ","- ",36.327080000000002,-119.35057,TULARE,VISALIA,-119.35023979,36.327240260000004
6812601,2015,2016-10-20,9480,2015-02-03,1534,13010,,2,2,5,5407,0,1,3,,1,064,"RT 198",LINWOOD,300.00,E,N,A,-,Y,TUL,6,198,-,-,7.310,H,-,E,Y,4,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,1,,,Y,,Y,,C,02,0,0,1,0,0,0,0,0,1,"- ","- ",,,TULARE,VISALIA,-119.33984977,36.327396759999999
6814121,2015,2016-10-20,9480,2015-02-03,1520,12251,,2,2,5,5407,0,1,3,,1,064,"RT 198","COUNTY CENTER DR",322.00,W,N,A,-,Y,TUL,6,198,-,-,7.936,R,1,E,Y,3,0,2,3,A,-,13,21718,,N,C,C,A,A,B,-,A,D,1,,,,,Y,,A,01,0,1,1,0,0,0,0,0,0,FR,"- ",,,TULARE,VISALIA,-119.32865279000001,36.327089749999999
6818899,2015,2016-10-20,9480,2015-02-06,1655,018742,,5,2,9,5400,0,1,3,,1,064,"RT 198","SHIRK RD",2640.00,E,N,-,-,Y,TUL,6,198,-,-,6.260,H,-,E,Y,4,0,1,2,A,-,03,22350,,M,C,C,A,-,-,-,-,D,1,,,,,Y,,D,22,0,0,1,0,0,0,0,0,0,"- ","- ",36.32714,-119.35916,TULARE,UNINCORPORATED,-119.35869175000001,36.327193979999997
6820623,2015,2016-10-20,9480,2015-02-14,0055,017778,,6,3,9,5400,0,1,3,,1,064,"RT 198","RT 99",20.00,E,N,A,-,Y,TUL,6,198,-,R,3.710,H,-,E,Y,4,0,1,1,A,-,01,23152,A,N,E,I,A,A,H,-,D,D,0,,,,,Y,Y,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",,,TULARE,UNINCORPORATED,-119.40910212,36.326638580000001
6820685,2015,2016-10-20,9480,2015-02-06,1633,016233,,5,2,9,5400,0,1,3,,1,064,"RT 198","LINWOOD ST",709.00,W,N,A,-,Y,TUL,6,198,-,-,7.120,H,-,E,Y,3,0,3,3,A,-,07,21658,A,N,B,C,A,A,-,-,A,D,1,,,,,Y,,A,01,0,3,0,0,0,0,0,0,0,"- ","- ",36.327719999999999,-119.34196,TULARE,UNINCORPORATED,-119.34325045999999,36.327384270000003
6820688,2015,2016-10-20,9480,2015-02-10,0650,012568,,2,1,9,5400,0,1,3,,1,064,"RT 198","ROAD 182",1056.00,E,N,B,-,Y,TUL,6,198,-,R,17.210,H,-,W,Y,3,0,1,1,A,-,08,22107,,N,F,A,A,A,H,-,A,D,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",36.326349999999998,-119.16271999999999,TULARE,UNINCORPORATED,-119.16271451,36.326562099999997
6820689,2015,2016-10-20,9480,2015-02-10,0755,012568,,2,1,9,5400,0,1,3,,1,064,"RT 198","SANTA FE ST",39.00,W,N,B,-,Y,TUL,6,198,-,R,10.210,H,-,W,Y,4,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,1,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",36.326979999999999,-119.28801,TULARE,UNINCORPORATED,-119.28793357000001,36.326909030000003
6829597,2015,2016-10-20,9480,2015-03-20,0805,015689,,5,1,9,5400,0,1,3,,1,064,"RT 198","GIDDINGS AV",150.00,E,N,A,-,Y,TUL,6,198,-,R,9.260,H,-,W,Y,4,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,1,,,,,Y,,D,22,0,0,1,0,0,0,0,0,0,"- ","- ",36.327379999999998,-119.30383,TULARE,UNINCORPORATED,-119.30496801,36.326950060000001
6839992,2015,2016-10-20,9480,2015-03-02,0725,12568,,1,1,9,5400,0,1,3,,1,064,"RT 198","RT 99",2640.00,E,N,B,C,Y,TUL,6,198,-,R,39.216,R,2,W,Y,3,0,1,1,A,-,03,22350,,N,E,I,A,B,H,-,A,D,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,TO,"- ",36.328740000000003,-119.40424,TULARE,UNINCORPORATED,-118.90120641999999,36.447736390000003
6840734,2015,2016-10-20,9480,2015-03-02,0915,16046,,1,1,9,5400,0,1,3,,1,034,"RT 198","ROAD 68",1056.00,E,N,B,-,Y,TUL,6,198,-,-,3.210,H,-,W,Y,3,0,1,2,C,-,18,,,N,C,E,A,B,H,-,A,D,0,,,,Y,Y,,-,"- ",0,1,0,0,0,0,0,0,0,"- ","- ",36.327500000000001,-119.41734,TULARE,UNINCORPORATED,-119.41744894999999,36.327436579999997
