ACCIDENT_YEAR,MONTH,LATITUDE,LONGITUDE,NATIONAL_PARK
2015,1,35.84443,-116.31815,Death_Valley
2015,1,37.37617,-118.42313,Death_Valley
2015,2,36.06911,-116.28894,Death_Valley
2015,2,36.89422,-118.24173,Death_Valley
2015,3,35.82876,-116.32057,Death_Valley
2015,3,36.60569,-118.06317,Death_Valley
2015,3,36.33869,-118.02049,Death_Valley
2015,3,36.3965,-117.86045,Death_Valley
2015,3,37.37599,-118.41961,Death_Valley
2015,3,36.18455,-116.34218,Death_Valley
2015,3,37.22546,-118.25172,Death_Valley
2015,3,36.89019,-118.24173,Death_Valley
2015,4,37.17528,-118.26902,Death_Valley
2015,4,37.37586,-118.4411,Death_Valley
2015,4,36.82962,-118.22363,Death_Valley
2015,4,36.49067,-116.67002,Death_Valley
2015,4,37.38167,-118.4231,Death_Valley
2015,4,36.4513,-116.64941,Death_Valley
2015,5,37.26257,-118.15543,Death_Valley
2015,5,35.9781,-117.92419,Death_Valley
2015,5,37.1662,-118.28972,Death_Valley
2015,5,36.57905,-118.05763,Death_Valley
2015,6,36.23363,-117.98038,Death_Valley
2015,6,37.31573,-118.10149,Death_Valley
2015,6,37.18585,-118.25145,Death_Valley
2015,6,36.33365,-117.73732,Death_Valley
2015,6,37.19986,-118.24344,Death_Valley
2015,6,35.94341,-116.27337,Death_Valley
2015,7,36.31271,-118.02623,Death_Valley
2015,7,36.34719,-117.31486,Death_Valley
2015,7,37.3321,-118.39407,Death_Valley
2015,7,37.05929,-118.23751,Death_Valley
2015,7,36.72039,-118.1392,Death_Valley
2015,7,36.51692,-118.03802,Death_Valley
2015,8,36.23752,-117.98346,Death_Valley
2015,8,36.30325,-116.46653,Death_Valley
2015,8,35.88756,-116.25736,Death_Valley
2015,8,37.1861,-118.25112,Death_Valley
2015,8,37.37948,-118.47421,Death_Valley
2015,9,35.88566,-116.25696,Death_Valley
2015,9,37.37584,-118.41849,Death_Valley
2015,10,37.0647,-118.23946,Death_Valley
2015,10,36.34608,-118.022,Death_Valley
2015,10,36.35204,-116.64023,Death_Valley
2015,10,36.98782,-118.23454,Death_Valley
2015,10,35.79832,-117.87255,Death_Valley
2015,10,35.79846,-117.87256,Death_Valley
2015,11,37.45775,-118.57651,Death_Valley
2015,11,36.22867,-117.98033,Death_Valley
2015,12,36.14012,-117.97392,Death_Valley
2015,12,36.37432,-116.69398,Death_Valley
2015,12,36.47579,-118.0356,Death_Valley
2016,1,36.61249,-118.0659,Death_Valley
2016,2,36.98817,-118.2343,Death_Valley
2016,2,36.85555,-118.23365,Death_Valley
2016,2,36.42254,-117.26598,Death_Valley
2016,2,37.25885,-118.36113,Death_Valley
2016,2,36.49803,-117.22689,Death_Valley
2016,3,36.49769,-117.22692,Death_Valley
2016,3,36.58174,-118.05754,Death_Valley
2016,3,36.37507,-116.68059,Death_Valley
2016,3,37.28163,-118.37285,Death_Valley
2016,3,36.01773,-116.29418,Death_Valley
2016,3,36.34725,-117.32308,Death_Valley
2016,4,36.34176,-117.92137,Death_Valley
2016,4,37.41943,-118.55556,Death_Valley
2016,4,35.93758,-117.90575,Death_Valley
2016,5,36.40614,-117.27856,Death_Valley
2016,5,37.36138,-118.42295,Death_Valley
2016,5,36.34117,-117.39937,Death_Valley
2016,5,36.09662,-117.9651,Death_Valley
2016,6,36.60509,-118.06313,Death_Valley
2016,7,37.25356,-118.16181,Death_Valley
2016,7,37.30883,-118.38252,Death_Valley
2016,7,37.36134,-118.42285,Death_Valley
2016,7,35.88421,-117.89097,Death_Valley
2016,7,36.04583,-117.94719,Death_Valley
2016,8,36.40721,-117.27732,Death_Valley
2016,8,36.27393,-118.00264,Death_Valley
2016,8,36.46998,-118.03581,Death_Valley
2016,8,36.51899,-117.22298,Death_Valley
2016,8,37.43866,-117.94314,Death_Valley
2016,8,37.43938,-118.57022,Death_Valley
2016,8,36.60168,-117.09924,Death_Valley
2016,9,35.88115,-116.2614,Death_Valley
2016,9,37.39748,-118.52079,Death_Valley
2016,9,37.37586,-118.42306,Death_Valley
2016,10,35.80951,-117.87313,Death_Valley
2016,10,36.30647,-118.02349,Death_Valley
2016,10,36.32264,-116.55773,Death_Valley
2016,11,36.59383,-118.05688,Death_Valley
2016,11,36.56585,-116.90844,Death_Valley
2016,11,35.83099,-116.32046,Death_Valley
2016,11,37.37586,-118.41578,Death_Valley
2016,12,36.34125,-117.40103,Death_Valley
