CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
90389791,2017,2017-02-09,9455,2017-02-02,1225,015656,,4,1,9,2200,0,1,3,,1,005,SR-49S,"ASHWORTH RD",2112.00,S,N,C,-,Y,,,49,,,,,,,Y,3,0,1,1,C,-,18,,,N,H,A,A,B,H,-,A,D,0,,,,,Y,,-,"- ",0,1,0,0,0,0,0,0,0,"- ","- ",37.456569999999999,-119.90815000000001,MARIPOSA,UNINCORPORATED,-119.90814663,37.456610750000003
90844002,2018,2018-10-24,9425,2018-10-24,0725,016886,,3,1,9,2200,0,3,5,,1,005,"FISKE ROAD","SHY FOX LANE",1584.00,N,N,A,-,N,,,,,,,,,,Y,3,0,1,1,C,-,18,,,N,H,H,A,A,H,-,A,D,0,,,,,Y,,-,"- ",0,1,0,0,0,0,0,0,0,"- ","- ",37.752220153808594,-120.13778686523438,MARIPOSA,UNINCORPORATED,-120.13813781738281,37.752689361572266
91175787,2020,2020-01-29,9455,2020-01-21,2225,017124,,2,3,9,2200,0,3,5,,2,010,"TRIANGLE RD","MEADOW LN",528.00,E,N,B,-,N,,,,,,,,,,Y,3,0,1,1,A,-,01,23152,A,N,E,I,A,A,H,-,D,D,0,,,,,Y,Y,D,22,0,1,0,0,0,0,0,0,0,"- ","- ",37.011341094970703,-119.84700012207031,MARIPOSA,UNINCORPORATED,-119.82228088378906,37.506881713867188
91612372,2021,2021-11-01,9455,2021-10-28,1855,019237,,4,2,9,2200,0,3,5,,2,010,"DARRAH ROAD","COLE ROAD",2640.00,N,N,A,-,N,,,,,,,,,,Y,3,0,1,2,A,-,12,21453,A,N,A,C,A,A,D,E,D,A,0,,,,,Y,,A,07,0,1,0,0,0,0,0,0,0,"- ","- ",37.470188140869141,-119.88037872314453,MARIPOSA,UNINCORPORATED,-119.88035583496094,37.470226287841797
90947265,2019,2019-05-06,9425,2019-03-10,1940,017403,,7,2,9,2200,0,1,3,,1,053,SR-49,"MARY HARRISON MINE RD",1056.00,N,N,B,-,Y,,,49,,,,,,,N,4,0,1,1,C,-,18,,,N,E,H,A,A,H,-,D,D,0,,,,,Y,,-,"- ",0,0,1,0,0,0,0,0,0,"- ","- ",37.69580078125,-120.18312072753906,MARIPOSA,UNINCORPORATED,-120.18310546875,37.69580078125
91439557,2021,2021-03-30,9455,2021-03-25,1015,019237,,4,1,9,2200,0,1,3,,1,004,"SR-49 NORTH","DRUNKEN GULCH RD",213.00,N,N,A,-,Y,,,49,,,,,,,Y,3,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",37.585548400878906,-120.12232208251953,MARIPOSA,UNINCORPORATED,-120.12235260009766,37.585521697998047
92241704,2023,2023-11-21,9455,2023-11-11,2300,021511,,6,3,9,2200,0,1,3,,1,005,SR-49,"CHOWCHILLA MOUNTAIN ROAD",1584.00,N,N,A,-,Y,MPA,,49," "," ",5.478,H,,R,Y,2,0,1,1,A,-,01,23152,A,N,E,8,A,A,H,-,D,D,0,,,,,Y,Y,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",37.464088439941406,-119.78312683105469,MARIPOSA,UNINCORPORATED,-119.78313446044922,37.464012145996094
90198334,2016,2016-06-09,9425,2016-06-06,1205,017461,,1,1,9,2200,0,1,3,,1,053,SR-49,"SCHILLING RD",10560.00,N,N,A,-,Y,,,49,,,,,,,Y,2,0,2,1,A,-,03,22350,,N,F,A,A,A,H,-,A,D,0,,,Y,,Y,,C,02,1,1,0,0,0,0,0,0,2,"- ","- ",37.710299999999997,-120.1974,MARIPOSA,UNINCORPORATED,-120.19707686,37.710529540000003
90795531,2018,2018-08-22,9455,2018-08-16,1505,018215,,4,2,9,2200,0,1,3,,1,001,SR-140,"MARTIN RD",528.00,E,N,A,-,Y,,,,,,,,,,Y,3,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",37.283340454101562,-119.58260345458984,MARIPOSA,UNINCORPORATED,-119.97501373291016,37.477344512939453
90978981,2019,2019-04-30,9455,2019-04-26,0200,019237,,5,3,9,2200,0,1,3,,1,001,"STATE HIGHWAY 140","AQUA FRIA RD",800.00,W,N,A,-,Y,,,140,,,,,,,Y,2,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,D,D,0,,,,,Y,,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",37.481769561767578,-120.02442932128906,MARIPOSA,UNINCORPORATED,-120.0244140625,37.481739044189453
