Year,Month,Day,Temp Max,Temp Avg,Temp Min,Dew Point Max,Dew Point Avg,Dew Point Min,Humidity Max,Humidity Avg,Humidity Min,Wind Speed Max,Wind Speed Avg,Wind Speed Min,Pressure Max,Pressure Avg,Pressure Min,Precipitation Total
2015,1,1,44,35.6,29,16,12.6,7,51,40.2,22,9,4.6,0,27.8,27.8,27.7,0.00
2015,1,2,47,36.0,26,15,11.4,9,58,38.4,21,7,2.9,0,27.9,27.8,27.8,0.00
2015,1,3,51,39.5,29,17,13.2,11,51,36.1,20,7,3.5,0,28.0,27.9,27.8,0.00
2015,1,4,51,41.1,31,20,17.7,16,57,40.6,26,8,3.0,0,28.1,28.1,28.0,0.00
2015,1,5,59,46.3,36,23,19.8,18,52,36.6,21,8,2.7,0,28.1,28.1,28.0,0.00
2015,1,6,67,52.5,40,31,26.6,22,53,38.3,22,7,3.7,0,28.1,28.0,27.9,0.00
2015,1,7,72,57.0,44,33,32.0,30,60,40.8,22,10,4.4,0,28.0,27.9,27.8,0.00
2015,1,8,68,55.1,44,33,31.2,30,60,42.0,24,8,3.7,0,27.9,27.8,27.7,0.00
2015,1,9,64,53.6,42,39,32.4,30,65,46.5,29,7,3.1,0,27.8,27.7,27.7,0.00
2015,1,10,64,56.2,50,42,36.3,33,62,48.0,35,7,4.4,0,27.7,27.7,27.6,0.00
2015,1,11,53,51.1,50,48,45.3,42,93,80.8,66,7,2.3,0,27.8,27.8,27.7,0.00
2015,1,12,59,53.8,47,47,44.1,40,90,70.8,55,10,3.5,0,27.9,27.8,27.7,0.53
2015,1,13,59,53.3,47,37,28.2,23,61,39.4,25,20,10.8,0,27.9,27.8,27.8,0.00
2015,1,14,59,50.8,42,30,26.1,24,62,39.5,26,15,7.2,0,28.0,27.9,27.9,0.00
2015,1,15,59,47.3,37,29,26.1,21,70,46.5,24,7,3.4,0,28.1,28.0,28.0,0.00
2015,1,16,59,47.9,38,30,25.5,21,58,43.5,28,8,2.4,0,28.0,27.9,27.9,0.00
2015,1,17,63,50.8,38,30,26.5,23,62,41.0,22,7,2.7,0,28.0,27.9,27.9,0.00
2015,1,18,62,51.5,42,33,30.0,27,65,45.7,26,6,2.8,0,28.0,27.9,27.9,0.00
2015,1,19,65,52.1,44,32,30.2,28,58,45.1,25,7,3.4,0,27.9,27.8,27.8,0.00
2015,1,20,58,51.0,41,36,30.0,27,67,45.9,31,6,3.8,0,27.8,27.8,27.7,0.00
2015,1,21,62,54.5,47,32,15.6,4,45,24.0,11,23,14.5,6,27.9,27.8,27.7,0.00
2015,1,22,55,46.7,39,17,8.5,-3,37,23.0,9,9,3.7,0,28.1,28.0,27.9,0.00
2015,1,23,60,49.1,38,16,11.1,5,38,23.6,12,10,4.1,0,28.0,28.0,27.9,0.00
2015,1,24,68,57.1,49,22,18.8,15,33,23.1,14,17,8.5,0,28.0,27.9,27.9,0.00
2015,1,25,72,58.5,49,32,27.0,17,43,31.0,20,10,4.2,0,28.0,27.9,27.8,0.00
