Year,Month,Day,Temp Max,Temp Avg,Temp Min,Dew Point Max,Dew Point Avg,Dew Point Min,Humidity Max,Humidity Avg,Humidity Min,Wind Speed Max,Wind Speed Avg,Wind Speed Min,Pressure Max,Pressure Avg,Pressure Min,Precipitation Total
2015,1,1,54,38.6,27,30,25.3,21,80,61.1,35,6,1.1,0,29.9,29.8,29.8,0.00
2015,1,2,54,38.6,28,30,25.7,19,75,61.7,41,6,1.5,0,29.9,29.9,29.8,0.00
2015,1,3,54,39.1,28,36,27.7,21,80,64.9,41,7,1.9,0,30.0,29.9,29.9,0.00
2015,1,4,54,40.6,28,37,30.9,21,81,68.8,50,9,1.6,0,30.1,30.1,30.0,0.00
2015,1,5,57,42.9,30,39,33.0,25,87,68.9,51,7,1.0,0,30.1,30.0,30.0,0.00
2015,1,6,64,47.4,34,46,37.4,27,81,69.7,52,7,1.5,0,30.0,29.9,29.9,0.00
2015,1,7,64,48.1,36,48,39.6,28,87,73.2,55,7,2.0,0,29.9,29.9,29.8,0.00
2015,1,8,64,48.9,37,48,41.1,30,87,75.3,55,8,1.8,0,29.8,29.7,29.7,0.00
2015,1,9,64,53.4,46,50,45.3,39,87,74.2,59,9,2.5,0,29.7,29.7,29.6,0.00
2015,1,10,64,53.5,45,52,45.8,39,88,75.7,59,5,0.8,0,29.7,29.7,29.6,0.00
2015,1,11,63,52.5,46,52,46.1,41,87,78.9,63,8,2.1,0,29.9,29.8,29.7,0.00
2015,1,12,55,50.5,45,50,45.5,39,88,82.8,76,6,1.3,0,29.9,29.9,29.9,0.00
2015,1,13,61,50.9,43,48,44.6,37,87,79.5,63,7,1.6,0,29.9,29.9,29.8,0.00
2015,1,14,57,45.7,37,52,40.3,34,93,81.4,71,7,3.1,0,30.0,29.9,29.9,0.00
2015,1,15,48,44.1,39,45,40.2,34,93,85.3,76,12,4.0,0,30.0,30.0,29.9,0.00
2015,1,16,52,46.3,39,43,40.3,34,87,78.9,71,10,2.8,0,30.0,30.0,29.9,0.00
2015,1,17,50,43.8,37,43,38.6,32,87,81.3,76,8,2.3,0,30.0,30.0,29.9,0.00
2015,1,18,48,46.4,45,43,41.4,39,87,82.0,76,7,2.4,0,30.0,30.0,30.0,0.00
2015,1,19,48,46.1,46,43,41.5,39,87,82.5,76,8,1.6,0,30.0,29.9,29.9,0.00
2015,1,20,48,46.5,46,43,41.5,39,87,81.4,76,7,2.1,0,29.9,29.8,29.8,0.00
2015,1,21,48,47.1,46,43,40.5,39,87,77.1,71,7,1.7,0,29.9,29.9,29.8,0.00
2015,1,22,52,46.8,39,43,38.4,34,87,72.9,66,8,2.7,0,30.1,30.0,29.9,0.00
2015,1,23,46,42.4,36,43,36.9,30,87,80.7,75,8,2.1,0,30.1,30.0,30.0,0.00
2015,1,24,46,44.0,43,41,38.0,37,87,81.2,76,6,2.6,0,30.0,29.9,29.9,0.00
2015,1,25,48,41.6,37,43,36.9,32,87,83.0,75,7,2.3,0,29.9,29.8,29.7,0.00
2015,1,26,57,46.1,36,46,39.6,30,87,78.6,67,9,2.6,0,29.8,29.7,29.7,0.00
2015,1,27,66,55.4,48,54,47.8,41,82,76.3,59,9,3.0,0,29.9,29.9,29.8,0.05
2015,1,28,57,49.2,45,52,44.6,39,88,83.6,76,7,1.5,0,30.0,29.9,29.9,0.03
2015,1,29,61,51.2,46,54,45.9,41,94,81.9,68,6,0.7,0,29.9,29.8,29.7,0.00
2015,1,30,61,50.2,45,54,44.6,39,94,80.9,63,5,0.5,0,29.7,29.6,29.6,0.00
2015,1,31,63,50.3,39,54,43.0,36,94,76.7,59,12,2.7,0,29.8,29.7,29.6,0.00
2015,2,1,68,52.0,39,50,42.7,34,87,71.5,52,6,1.7,0,29.9,29.8,29.8,0.00
2015,2,2,66,52.5,43,52,43.6,36,82,72.7,56,7,1.9,0,29.9,29.8,29.8,0.00
2015,2,3,66,52.3,41,52,43.7,36,87,73.5,56,7,2.1,0,29.9,29.8,29.8,0.00
2015,2,4,75,57.0,41,52,44.6,34,87,65.4,38,7,2.6,0,29.8,29.8,29.7,0.00
2015,2,5,75,58.9,45,48,42.3,36,71,56.0,31,9,3.5,0,29.7,29.7,29.6,0.00
2015,2,6,75,61.3,50,48,43.4,37,67,53.5,34,20,5.1,0,29.7,29.7,29.6,0.00
2015,2,7,64,60.5,55,59,53.5,45,83,77.9,52,14,6.1,0,29.8,29.8,29.7,0.13
2015,2,8,75,63.7,54,61,55.1,50,88,74.4,50,15,8.0,0,29.8,29.8,29.7,0.29
2015,2,9,70,59.0,50,54,48.3,43,82,68.3,52,12,6.0,0,29.9,29.9,29.8,0.00
2015,2,10,63,51.6,43,50,43.9,36,87,75.3,59,8,4.3,0,29.9,29.8,29.8,0.00
2015,2,11,64,52.2,43,52,45.3,37,94,77.7,59,9,2.9,0,29.9,29.8,29.8,0.00
2015,2,12,72,55.2,45,55,45.3,37,88,71.2,43,8,2.3,0,29.9,29.9,29.8,0.00
2015,2,13,73,56.8,43,54,46.0,37,87,69.0,44,7,2.6,0,29.9,29.8,29.7,0.00
2015,2,14,73,57.8,45,55,47.4,39,87,69.2,47,9,2.9,0,29.8,29.8,29.7,0.00
2015,2,15,73,58.5,45,55,48.3,39,82,69.9,50,8,2.8,0,29.8,29.7,29.6,0.00
2015,2,16,75,58.8,45,55,47.6,37,87,67.9,41,7,2.0,0,29.7,29.7,29.6,0.00
2015,2,17,75,58.6,43,55,47.3,36,87,68.0,36,10,2.9,0,29.8,29.7,29.7,0.00
2015,2,18,61,52.8,45,52,46.5,39,88,80.0,72,9,3.4,0,29.9,29.8,29.8,0.00
2015,2,19,70,54.3,43,55,46.2,37,94,75.6,53,9,2.7,0,29.9,29.8,29.7,0.00
2015,2,20,55,51.9,48,48,46.1,43,88,81.1,72,9,2.7,0,29.8,29.7,29.7,0.00
2015,2,21,55,51.0,43,48,44.5,37,87,79.4,71,8,1.6,0,29.7,29.6,29.5,0.00
2015,2,22,54,49.9,43,48,44.6,37,87,82.0,76,8,3.3,0,29.6,29.5,29.5,0.00
2015,2,23,59,50.5,43,46,43.2,36,87,75.7,59,12,6.7,0,29.9,29.7,29.6,0.33
2015,2,24,61,48.9,37,45,38.2,34,87,68.1,42,8,2.6,0,30.1,30.0,29.9,0.45
2015,2,25,64,51.5,39,46,40.9,34,87,68.3,45,7,1.7,0,30.0,29.9,29.8,0.00
2015,2,26,64,52.8,41,48,41.4,36,87,66.9,45,6,1.7,0,29.8,29.7,29.6,0.00
2015,2,27,66,54.6,43,48,42.6,36,82,65.4,49,14,3.9,0,29.6,29.5,29.4,0.00
2015,2,28,61,50.8,43,43,39.0,36,81,64.8,45,13,5.0,0,29.6,29.5,29.4,0.00
2015,3,1,63,49.8,39,46,40.7,34,82,71.4,52,10,3.8,0,29.7,29.6,29.6,0.00
2015,3,2,61,50.6,43,46,41.5,36,82,71.2,51,12,5.5,0,29.7,29.6,29.5,0.14
