National Park,Year,Month,Footfall
Death_Valley,2015,1,82636
Death_Valley,2015,2,78471
Death_Valley,2015,3,113498
Death_Valley,2015,4,111121
Death_Valley,2015,5,126277
Death_Valley,2015,6,99063
Death_Valley,2015,7,118051
Death_Valley,2015,8,115904
Death_Valley,2015,9,90845
Death_Valley,2015,10,106301
Death_Valley,2015,11,76353
Death_Valley,2015,12,78982
Death_Valley,2016,1,71979
Death_Valley,2016,2,97652
Death_Valley,2016,3,217688
Death_Valley,2016,4,113696
Death_Valley,2016,5,105517
Death_Valley,2016,6,54957
Death_Valley,2016,7,107959
Death_Valley,2016,8,121341
Death_Valley,2016,9,146567
Death_Valley,2016,10,114647
Death_Valley,2016,11,103730
Death_Valley,2016,12,90236
Death_Valley,2017,1,69514
Death_Valley,2017,2,81663
Death_Valley,2017,3,112342
Death_Valley,2017,4,111579
Death_Valley,2017,5,109285
Death_Valley,2017,6,88331
Death_Valley,2017,7,140498
Death_Valley,2017,8,178698
Death_Valley,2017,9,143252
Death_Valley,2017,10,115390
Death_Valley,2017,11,95467
Death_Valley,2017,12,98104
Death_Valley,2018,1,83627
Death_Valley,2018,2,134964
Death_Valley,2018,3,170417
Death_Valley,2018,4,146206
Death_Valley,2018,5,164805
Death_Valley,2018,6,114357
Death_Valley,2018,7,148594
Death_Valley,2018,8,190120
Death_Valley,2018,9,155735
Death_Valley,2018,10,183372
Death_Valley,2018,11,131714
Death_Valley,2018,12,120953
Death_Valley,2019,1,116535
Death_Valley,2019,2,117480
Death_Valley,2019,3,185733
Death_Valley,2019,4,184728
Death_Valley,2019,5,161389
Death_Valley,2019,6,126773
Death_Valley,2019,7,148148
Death_Valley,2019,8,172147
Death_Valley,2019,9,175387
Death_Valley,2019,10,143509
Death_Valley,2019,11,137334
Death_Valley,2019,12,140763
Death_Valley,2020,1,103002
Death_Valley,2020,2,132695
Death_Valley,2020,3,117017
Death_Valley,2020,4,19125
Death_Valley,2020,5,20826
Death_Valley,2020,6,30621
Death_Valley,2020,7,44309
Death_Valley,2020,8,40994
Death_Valley,2020,9,40342
Death_Valley,2020,10,69452
Death_Valley,2020,11,136866
Death_Valley,2020,12,97985
Death_Valley,2021,1,83523
Death_Valley,2021,2,113589
Death_Valley,2021,3,178444
Death_Valley,2021,4,146056
Death_Valley,2021,5,84079
Death_Valley,2021,6,58377
Death_Valley,2021,7,55076
Death_Valley,2021,8,44519
Death_Valley,2021,9,58058
Death_Valley,2021,10,113394
Death_Valley,2021,11,138462
Death_Valley,2021,12,119124
Death_Valley,2022,1,95806
Death_Valley,2022,2,128909
Death_Valley,2022,3,189239
Death_Valley,2022,4,113158
Death_Valley,2022,5,96183
Death_Valley,2022,6,88117
Death_Valley,2022,7,87872
Death_Valley,2022,8,50146
Death_Valley,2022,9,56802
Death_Valley,2022,10,55839
Death_Valley,2022,11,97211
Death_Valley,2022,12,113894
Death_Valley,2023,1,87574
Death_Valley,2023,2,119684
Death_Valley,2023,3,151532
Death_Valley,2023,4,150659
Death_Valley,2023,5,118331
Death_Valley,2023,6,85074
Death_Valley,2023,7,90250
Death_Valley,2023,8,84448
Death_Valley,2023,9,0
Death_Valley,2023,10,42731
Death_Valley,2023,11,102735
Death_Valley,2023,12,110773
Death_Valley,2024,1,88882
Death_Valley,2024,2,128951
Death_Valley,2024,3,167996
Death_Valley,2024,4,172045
