CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6292303,2015,2015-07-01,9435,2015-04-22,1335,18860,,3,1,9,1000,0,1,3,,1,180,"RT 180","BLYTHE AV",35.00,E,N,A,-,Y,FRE,6,180,-,-,53.080,H,-,E,Y,1,1,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,D,22,0,1,0,0,0,0,0,0,0,"- ","- ",36.735460000000003,-119.87025,FRESNO,UNINCORPORATED,-119.87183689,36.735487259999999
6678240,2017,2018-01-31,1007,2017-03-21,2259,I066,,2,5,2,1007,0,0,0,,0,0KE,"WHITESBRIDGE RD","VINELAND AV",0.00,,N,A,-,Y,FRE,6,180,-,-,42.930,H,-,E,Y,1,1,1,1,A,-,17,21658,,N,A,I,A,A,H,-,C,D,0,,,,,Y,,-,,0,1,0,0,0,0,0,0,0,"- ","- ",,,FRESNO,KERMAN,-120.05479281,36.734952219999997
6786718,2015,2016-10-28,9435,2015-01-12,0935,15095,,1,1,7,1005,0,1,3,,2,182,"RT 180","CLOVIS AV",30.00,E,N,E,-,Y,FRE,6,180,-,R,62.900,H,-,W,Y,4,0,1,1,A,-,03,22350,,N,E,I,A,B,H,-,A,D,0,,,,,Y,,D,22,0,0,1,0,0,0,0,0,0,FR,"- ",36.752960000000002,-119.70061,FRESNO,FRESNO,-119.70016074999999,36.752833340000002
6792961,2015,2016-10-27,9435,2015-01-19,1740,019369,,1,2,7,1005,0,1,3,,2,181,"RT 180","FULTON ST",80.00,W,N,A,-,Y,FRE,6,180,-,R,57.220,H,-,W,Y,4,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,C,D,1,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",36.748699999999999,-119.8005,FRESNO,FRESNO,-119.80102755999999,36.748397539999999
6795040,2015,2016-10-28,1007,2015-01-12,0720,I045,KERMA,1,5,2,1007,0,0,0,,0,0KE,"W WHITESBRIDGE AV","S DEL NORTE AV",300.00,E,N,E,-,Y,FRE,6,180,-,-,42.200,H,-,W,N,4,0,2,2,A,-,03,22350,,N,C,C,A,B,H,-,A,A,0,,,,,Y,,-,,0,0,2,0,0,0,0,0,0,"- ","- ",,,FRESNO,KERMAN,-120.06812265000001,36.734859610000001
6801762,2015,2016-10-28,9435,2015-02-03,0640,14547,,2,1,7,1005,0,1,3,,2,181,"RT 180","G ST",100.00,E,N,F,-,Y,FRE,6,180,-,R,56.720,H,-,W,Y,4,0,1,3,A,-,03,22350,,N,C,C,A,A,H,-,A,D,1,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",,,FRESNO,FRESNO,-119.80867437000001,36.74434325
6801803,2015,2016-10-28,9435,2015-01-23,1203,17088,,5,1,9,1000,0,1,3,,2,184,"RT 180","GEORGE SMITH RD",3168.00,E,N,A,-,Y,FRE,6,180,-,-,89.970,H,-,W,Y,2,0,3,3,A,-,09,21804,A,N,D,C,F,A,H,-,A,D,0,Y,,,,Y,,D,22,2,1,0,0,1,0,0,0,0,"- ","- ",36.442480000000003,-119.14521999999999,FRESNO,UNINCORPORATED,-119.24822526,36.74009642
6801823,2015,2016-10-28,9435,2015-01-28,0855,15026,,3,1,9,1000,0,1,3,,1,180,"RT 180","HAYES AV",0.00,,Y,B,E,Y,FRE,6,180,-,-,51.590,I,5,W,Y,4,0,4,2,A,-,09,21802,A,N,D,C,A,B,H,-,A,A,0,,,,,Y,,A,07,0,0,4,0,0,0,0,0,0,"- ","- ",,,FRESNO,UNINCORPORATED,-119.89874222,36.735400159999998
6802268,2015,2016-10-28,9435,2015-01-13,0813,015773,,2,1,9,1000,0,1,3,,2,184,"RT 180","CRAWFORD AV",2112.00,W,N,E,-,Y,FRE,6,180,-,-,81.690,H,-,E,Y,2,0,3,3,A,-,08,22107,,N,B,C,A,A,H,-,A,D,0,,,,,Y,,A,01,1,2,0,0,0,0,0,0,0,"- ","- ",36.719630000000002,-119.38341,FRESNO,UNINCORPORATED,-119.38335060999999,36.719607279999998
6802274,2015,2016-10-28,9435,2015-01-11,1419,018912,,7,2,9,1000,0,1,3,,2,181,"RT 180","RT 99",1000.00,E,N,A,-,Y,FRE,6,180,-,R,56.518,R,1,W,Y,4,0,1,3,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,D,22,0,0,1,0,0,0,0,0,0,TO,"- ",36.742139999999999,-119.81319000000001,FRESNO,UNINCORPORATED,-119.81168443999999,36.742725669999999
