CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
7030126,2015,2017-01-28,2711,2015-07-31,1503,4141,2711,5,5,3,2711,0,0,0,,0,002,"METZ RD","BRYANT CANYON RD",87.00,S,N,A,-,Y,MON,5,146,-,-,1.930,H,-,W,Y,2,0,1,2,-,-,"- ",,,N,A,I,A,A,H,-,A,D,0,,,,,Y,,-,"- ",1,0,0,0,0,0,0,0,0,"- ","- ",,,MONTEREY,SOLEDAD,-121.31374013999999,36.426352909999999
8738744,2018,2019-01-10,2711,2018-05-12,0148,07568,SPD,6,5,3,2711,0,0,0,,0,002,"METZ RD","TIBURON PL",75.00,S,N,A,-,Y,MON,5,146,-,-,2.000,H,-,E,Y,2,0,1,4,A,-,08,22107,,N,A,E,A,A,H,-,C,D,0,,,,,Y,Y,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",,,MONTEREY,SOLEDAD,-121.31020355224609,36.425685882568359
90099762,2016,2016-01-21,9735,2016-01-18,1225,017952,,1,1,9,2700,0,3,5,,2,003,SR-146,"METZ RD",247.00,E,N,A,-,Y,,,146,,,,,,,N,3,0,1,1,A,-,03,22350,,N,F,A,A,A,H,-,A,D,0,,Y,,,Y,,L,04,0,1,0,0,0,0,1,0,0,"- ","- ",36.415990000000001,-121.27723,MONTEREY,UNINCORPORATED,-121.27722971999999,36.415927119999999
90289720,2016,2016-10-12,9735,2016-10-10,1238,018069,,1,1,9,2700,0,1,3,,2,030,"SR-146 (METZ ROAD)","STONEWALL CANYON ROAD",1584.00,N,N,A,-,Y,,,146,,,,,,,N,4,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,D,22,0,0,1,0,0,0,0,0,0,"- ","- ",36.424120000000002,-121.30125,MONTEREY,UNINCORPORATED,-121.30124237,36.424163659999998
90591851,2017,2017-11-09,9735,2017-11-02,1518,017681,,4,2,9,2700,0,1,3,,2,030,"SR-146 W/B","STONEWALL CANYON ROAD",2112.00,E,N,A,-,Y,,,146,,,,,,W,Y,2,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,08,1,0,0,0,0,0,0,0,0,"- ","- ",36.423220000000001,-121.28801,MONTEREY,UNINCORPORATED,-121.28801018999999,36.423188609999997
90669502,2018,2018-02-26,9735,2018-02-22,1800,020841,,4,2,9,2700,0,3,5,,2,003,SR-146,"RAMUS ROAD",4963.00,E,N,C,-,N,,,146,,,,,,,Y,3,0,2,1,A,-,08,22107,,N,E,I,A,B,H,-,D,D,0,,,,,Y,,A,01,0,1,1,0,0,0,0,0,0,"- ","- ",36.439350128173828,-121.2244873046875,MONTEREY,UNINCORPORATED,-121.2244873046875,36.439350128173828
90683926,2018,2018-03-16,9735,2018-03-11,1745,020710,,7,2,9,2700,0,1,3,,2,030,SR-146,"FABRY RD.",3500.00,E,N,A,-,Y,,,146,,,,,,,Y,4,0,1,1,A,-,03,22350,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",36.414180755615234,-121.26450347900391,MONTEREY,UNINCORPORATED,-121.26432037353516,36.414211273193359
90836069,2018,2018-10-15,9735,2018-10-04,1610,020710,,4,2,9,2700,0,3,5,,2,003,SR-146,"METZ RD",1584.00,N,N,A,-,Y,,,146,,,,,,,Y,2,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",36.420341491699219,-121.28372192382812,MONTEREY,UNINCORPORATED,-121.28366851806641,36.420402526855469
91050228,2019,2019-08-12,9735,2019-08-04,1730,022328,,7,2,9,2700,0,3,5,,2,003,SR-146,"METZ ROAD",225.00,N,N,A,-,Y,,,146,,,,,,,Y,3,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,07,0,1,0,0,0,0,0,0,0,"- ","- ",36.416439056396484,-121.27812194824219,MONTEREY,UNINCORPORATED,-121.27835083007812,36.416152954101562
91089699,2019,2019-10-03,9735,2019-09-20,1615,020710,,5,2,9,2700,0,1,3,,2,030,SR-146,"STONEWALL CANYON RD",332.00,E,N,A,-,Y,,,146,,,,,,,Y,2,0,2,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,01,2,0,0,0,0,0,0,0,0,"- ","- ",36.423259735107422,-121.294921875,MONTEREY,UNINCORPORATED,-121.294921875,36.423198699951172
