CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6292435,2015,2017-05-09,9120,2015-05-20,1530,20638,,3,2,9,0800,0,1,2,,2,005,"RT 101","MILL CREEK",8976.00,S,N,B,-,Y,DN,1,101,-,-,18.450,H,-,S,Y,1,1,0,1,A,-,03,22350,,N,E,I,A,B,H,-,A,D,0,,,,,Y,,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",,,"DEL NORTE",UNINCORPORATED,-124.11182015999999,41.684111440000002
6768968,2015,2016-11-04,9120,2015-04-19,1255,15557,,7,1,9,0800,0,1,2,,2,005,"RT 101","RUDISILL RD",8976.00,N,N,A,-,Y,DN,1,101,-,-,15.580,H,-,S,Y,4,0,2,3,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,B,07,0,0,2,0,0,0,0,0,0,"- ","- ",,,"DEL NORTE",UNINCORPORATED,-124.1142761,41.643988810000003
6791886,2015,2016-09-27,9120,2015-01-12,1215,013564,,1,1,9,0800,0,1,2,,2,002,"RT 101","WONDER STUMP RD",0.00,,Y,A,-,Y,DN,1,101,-,-,33.430,I,5,N,Y,4,0,2,2,A,-,09,21802,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,D,22,0,0,2,0,0,0,0,0,0,"- ","- ",,,"DEL NORTE",UNINCORPORATED,-124.14365372,41.840156839999999
6813364,2015,2016-09-27,9120,2015-02-01,1335,012087,,7,1,9,0800,0,1,2,,2,004,"RT 199","MPM 20.57",61.00,N,N,A,-,Y,DN,1,199,-,-,20.610,H,-,N,Y,3,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,A,0,,,,,Y,,A,07,0,1,0,0,0,0,0,0,0,"- ","- ",,,"DEL NORTE",UNINCORPORATED,-123.86282237,41.86511385
6813368,2015,2016-09-27,9120,2015-02-03,1730,017248,,2,2,9,0800,0,1,2,,2,003,"RT 199","SOUTH FORK RD",12144.00,N,N,B,C,Y,DN,1,199,-,-,9.460,H,-,S,Y,4,0,1,1,A,-,03,22350,,N,E,I,A,B,H,-,B,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",,,"DEL NORTE",UNINCORPORATED,-124.03241966,41.825459770000002
6817715,2015,2016-09-27,9120,2015-02-07,2105,13388,,6,2,9,0800,0,1,2,,2,004,"RT 199","SISKIYOU FORK RD",10560.00,N,N,B,C,Y,DN,1,199,-,-,27.190,H,-,S,Y,4,0,1,1,A,-,08,22107,,N,E,I,A,B,H,-,D,D,0,,,,,Y,,A,07,0,0,1,0,0,0,0,0,0,"- ","- ",,,"DEL NORTE",UNINCORPORATED,-123.78522017,41.894736940000001
6824433,2015,2016-09-27,9120,2015-02-10,1320,020638,,2,1,9,0800,0,1,2,,2,001,"RT 101","TIMBER BL",27.00,S,N,B,-,Y,DN,1,101,-,-,39.390,H,-,N,Y,4,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,D,22,0,0,1,0,0,0,0,0,0,"- ","- ",,,"DEL NORTE",UNINCORPORATED,-124.14061236000001,41.925377050000002
6840366,2015,2016-09-27,9120,2015-03-05,1115,015557,,4,1,9,0800,0,1,2,,2,002,"RT 101","WONDER STUMP RD",0.00,,Y,A,-,Y,DN,1,101,-,-,33.430,I,5,N,Y,4,0,2,2,A,-,08,22107,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,2,0,0,0,0,0,0,"- ","- ",,,"DEL NORTE",UNINCORPORATED,-124.14365372,41.840156839999999
6840570,2015,2016-09-27,9120,2015-03-02,1915,017248,,1,2,9,0800,0,1,2,,2,001,"RT 101","SALMON HARBOR RD",0.00,,Y,A,-,Y,DN,1,101,-,-,42.815,I,5,N,N,4,0,1,2,A,-,03,22350,,N,G,B,D,A,H,-,D,D,0,Y,,,,Y,,A,01,0,0,1,0,1,0,0,0,0,"- ","- ",,,"DEL NORTE",UNINCORPORATED,-124.19763706000001,41.948369219999996
6842162,2015,2016-09-27,9120,2015-03-13,2250,013564,,5,3,9,0800,0,1,2,,2,004,"RT 199","LITTLE JONES CREEK RD",4752.00,S,N,C,-,Y,DN,1,199,-,-,23.860,H,-,N,Y,4,0,1,1,A,-,03,22350,,N,E,I,A,B,H,-,D,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",,,"DEL NORTE",UNINCORPORATED,-123.82920157,41.87862836
