CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6292283,2015,2015-06-22,9125,2015-03-31,1811,13551,,2,2,9,1200,0,1,2,,2,022,"RT 101","ARCATA OVERHEAD",608.00,N,N,A,-,Y,HUM,1,101,-,-,87.890,H,-,S,Y,1,2,1,1,A,-,01,23152,E,N,E,I,A,A,H,-,A,D,1,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",40.893529999999998,-124.08159000000001,HUMBOLDT,UNINCORPORATED,-124.08077290999999,40.892030370000001
6292355,2015,2017-04-21,1203,2015-01-23,1818,4027,,5,5,4,1203,0,0,0,,0,002,"RT 101","MCCULLEN AV",114.00,N,N,A,-,Y,HUM,1,101,-,-,75.930,H,-,N,N,1,1,0,2,A,-,11,21954,A,N,G,B,D,A,H,-,D,D,0,Y,,,,Y,Y,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",,,HUMBOLDT,EUREKA,-124.19047848,40.774495379999998
6292386,2015,2015-07-16,9125,2015-03-21,0641,18064,,6,1,9,1200,0,1,2,,2,022,"RT 101","SAMOA BL",3696.00,S,N,B,E,Y,HUM,1,101,-,-,85.110,H,-,N,Y,1,1,1,3,A,-,03,22350,,N,G,B,E,B,H,-,D,D,1,Y,,,,Y,,A,01,0,1,0,1,0,0,0,0,0,"- ","- ",40.852359999999997,-124.08185,HUMBOLDT,UNINCORPORATED,-124.08188874,40.852313700000003
6292570,2015,2015-09-04,9126,2015-06-20,1705,20569,,6,2,9,1200,0,1,2,,2,044,"RT 101","SALMON CREEK RD",6336.00,N,N,B,-,Y,HUM,1,101,-,-,26.210,H,-,S,Y,1,1,2,1,C,-,18,,,N,E,I,A,A,H,-,A,D,1,,,,,Y,Y,-,"- ",0,1,1,0,0,0,0,0,0,"- ","- ",40.263910000000003,-123.84747,HUMBOLDT,UNINCORPORATED,-123.84725745,40.262998289999999
6292903,2017,2017-10-06,1203,2017-03-09,1114,4048,,4,5,4,1203,0,0,0,,0,,"4TH ST","S ST",6.00,W,N,B,-,Y,HUM,1,101,-,-,79.231,I,5,S,Y,1,1,0,2,C,-,18,,,F,G,B,B,A,H,-,A,A,0,Y,,,,Y,,-,"- ",0,0,0,1,0,0,0,0,0,"- ","- ",40.8048,-124.15260000000001,HUMBOLDT,EUREKA,-124.15252155,40.804693899999997
6292905,2017,2017-10-05,1203,2017-01-05,0024,4073,,4,5,4,1203,0,0,0,,0,,"RT 101","EUREKA SLOUGH BRIDGE",381.00,N,N,A,B,Y,HUM,1,101,-,-,80.030,H,-,S,N,1,1,0,2,D,-,00,,,F,G,B,E,A,H,-,D,D,0,Y,,,,Y,,-,"- ",0,0,0,1,0,0,0,0,0,"- ","- ",40.505200000000002,-124.13746,HUMBOLDT,EUREKA,-124.13753473,40.805921849999997
6292914,2017,2017-10-05,1203,2017-06-26,1820,4043,,1,5,4,1203,0,0,0,,0,,"BROADWAY ST","SUNSET RD",352.00,N,N,A,-,Y,HUM,1,101,-,-,75.490,H,-,S,Y,1,1,2,3,A,-,09,21804,A,N,D,C,A,A,H,-,A,A,0,,,Y,,Y,,A,08,0,1,1,0,0,0,0,1,0,"- ","- ",40.768059999999998,-124.19172,HUMBOLDT,EUREKA,-124.19169513999999,40.768580010000001
6292965,2017,2019-04-05,1203,2017-07-18,1027,464,SUPER,2,5,4,1203,0,0,0,,0,002,"RT 101",BAYSHORE,722.00,S,N,B,-,Y,HUM,1,101,-,-,76.420,H,-,N,N,1,1,0,2,A,-,10,21952,,N,G,B,F,A,H,-,A,D,0,Y,,,,Y,,D,22,0,0,0,1,0,0,0,0,0,"- ","- ",,,HUMBOLDT,EUREKA,-124.18578189999999,40.78011472
6718299,2015,2015-03-18,9126,2015-01-13,2000,20503,,2,2,9,1200,0,1,2,,2,022,"RT 101","FEDERATION GR",1056.00,S,N,B,-,Y,HUM,1,101,-,-,34.860,H,-,N,Y,1,1,1,1,A,-,01,23152,E,N,E,I,A,A,H,-,D,D,1,,,,,Y,,A,07,1,0,0,0,0,0,0,0,0,"- ","- ",40.341940000000001,-123.93268999999999,HUMBOLDT,UNINCORPORATED,-123.93293976,40.341610379999999
6781796,2015,2016-09-27,9125,2015-01-18,1100,014428,,7,1,9,1200,0,1,2,,2,016,"RT 101","BOYES CREEK VIADUCT",1056.00,S,N,A,-,Y,HUM,1,101,-,R,128.760,H,-,S,Y,3,0,1,1,A,-,03,22350,,N,E,I,A,A,H,-,A,D,1,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",41.366169999999997,-123.99113,HUMBOLDT,UNINCORPORATED,-123.99113085,41.366300129999999
6783365,2015,2016-09-27,9126,2015-02-21,0430,19194,,6,3,9,1200,0,1,2,,2,022,"RT 101","BARKDULL RD",5280.00,S,N,B,-,Y,HUM,1,101,-,R,42.410,H,-,N,Y,3,0,1,1,A,-,01,23152,A,N,E,I,A,A,H,-,D,D,1,,,,,Y,Y,D,22,0,1,0,0,0,0,0,0,0,"- ","- ",40.421909999999997,-123.9821,HUMBOLDT,UNINCORPORATED,-123.98208353,40.422165849999999
6783492,2015,2016-09-27,1203,2015-02-18,1220,4027,,3,5,4,1203,0,0,0,,0,001,"RT 101","7TH ST",0.00,,Y,B,-,Y,HUM,1,101,-,-,77.840,I,5,N,Y,4,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,Y,D,22,0,0,1,0,0,0,0,0,0,"- ","- ",,,HUMBOLDT,EUREKA,-124.1750344,40.798968549999998
6804441,2015,2016-09-27,9125,2015-01-23,1340,014643,,5,1,9,1200,0,1,2,,2,030,"RT 101","HOOKTON RD",2640.00,S,N,A,-,Y,HUM,1,101,-,-,67.730,H,-,N,Y,4,0,1,1,A,-,17,21711,,N,F,I,A,A,H,-,A,D,1,,,,,Y,,E,22,0,0,1,0,0,0,0,0,0,"- ","- ",40.664119999999997,-124.20350000000001,HUMBOLDT,UNINCORPORATED,-124.20329497,40.665174589999999
6804821,2015,2016-09-27,9125,2015-01-23,1455,018172,,5,2,9,1200,0,1,2,,2,044,"RT 101","LOLETA DR",1056.00,S,N,A,-,Y,HUM,1,101,-,-,65.740,H,-,S,Y,3,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,1,,,,,Y,,A,08,0,1,0,0,0,0,0,0,0,"- ","- ",40.638930000000002,-124.21093,HUMBOLDT,UNINCORPORATED,-124.21087039,40.638975430000002
6804833,2015,2016-09-27,9126,2015-01-26,1355,02503,,1,1,9,1200,0,1,2,,2,044,"RT 101","S FORK EEL RIVER BR",1056.00,S,N,B,-,Y,HUM,1,101,-,R,17.130,H,-,S,Y,2,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,1,,,Y,,Y,Y,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",,,HUMBOLDT,UNINCORPORATED,-123.78144755,40.171712489999997
6805253,2015,2016-09-27,1203,2015-01-26,1121,604,,1,5,4,1203,0,0,0,,0,001,"RT 101",CLARK,0.00,,Y,B,-,Y,HUM,1,101,-,-,77.680,I,5,N,Y,4,0,1,2,D,-,00,,,N,A,C,A,A,H,-,A,A,0,,,,,Y,,-,"- ",0,0,1,0,0,0,0,0,0,"- ","- ",,,HUMBOLDT,EUREKA,-124.17531112,40.796664069999999
6805479,2015,2016-09-27,1203,2015-01-13,1126,951,,2,5,4,1203,0,0,0,,0,002,"RT 101",WABASH,375.00,N,N,A,-,Y,HUM,1,101,-,-,77.370,H,-,S,N,4,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",,,HUMBOLDT,EUREKA,-124.17786022999999,40.792496960000001
6805485,2015,2016-09-27,9126,2015-01-18,1530,020569,,7,2,9,1200,0,1,2,,2,022,"RT 101","S FORK RD",1056.00,S,N,A,B,Y,HUM,1,101,-,-,35.470,H,-,N,Y,4,0,1,1,A,-,08,22107,,N,E,I,A,B,H,-,A,D,1,,,,,Y,,A,07,0,0,1,0,0,0,0,0,0,"- ","- ",,,HUMBOLDT,UNINCORPORATED,-123.92964147000001,40.349992200000003
6811897,2015,2016-09-27,9126,2015-01-30,1635,020592,,5,2,9,1200,0,1,2,,2,011,"RT 101","BRIDGES CREEK",5280.00,N,N,A,-,Y,HUM,1,101,-,-,98.500,H,-,N,Y,3,0,1,1,A,-,01,23152,A,N,E,I,A,A,H,-,A,D,0,,,,,Y,Y,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",39.547530000000002,-123.45499,HUMBOLDT,UNINCORPORATED,-124.1132679,41.037994050000002
6813408,2015,2016-09-27,9125,2015-02-04,1104,018064,,3,1,9,1200,0,1,2,,2,044,"RT 101","LOLETA DR",60.00,N,N,B,-,Y,HUM,1,101,-,-,65.970,H,-,S,Y,4,0,1,1,C,-,18,,,N,B,I,A,A,H,-,A,D,1,,,,,Y,,-,"- ",0,0,1,0,0,0,0,0,0,"- ","- ",40.642029999999998,-124.20941999999999,HUMBOLDT,UNINCORPORATED,-124.20927795999999,40.642194080000003
