Year,Month,Day,Temp Max,Temp Avg,Temp Min,Dew Point Max,Dew Point Avg,Dew Point Min,Humidity Max,Humidity Avg,Humidity Min,Wind Speed Max,Wind Speed Avg,Wind Speed Min,Pressure Max,Pressure Avg,Pressure Min,Precipitation Total
2015,1,1,53,42.6,32,26,22.7,20,69,46.5,31,9,3.5,0,29.7,29.6,29.6,0.00
2015,1,2,62,46.7,34,27,20.5,8,61,39.5,12,8,3.2,0,29.7,29.6,29.6,0.00
2015,1,3,60,48.3,37,31,27.5,23,76,47.5,25,7,3.8,0,29.8,29.7,29.7,0.00
2015,1,4,63,50.3,39,32,28.3,23,76,46.3,22,9,3.4,0,29.9,29.9,29.8,0.00
2015,1,5,73,56.7,42,33,25.8,22,60,32.8,15,9,4.3,0,29.9,29.8,29.8,0.00
2015,1,6,78,60.6,45,31,26.0,21,52,29.2,12,9,4.1,0,29.8,29.7,29.7,0.00
2015,1,7,82,65.5,51,40,33.9,29,49,32.8,16,9,4.0,0,29.7,29.6,29.6,0.00
2015,1,8,78,65.3,55,43,37.7,34,53,37.7,21,9,4.5,0,29.6,29.5,29.5,0.00
2015,1,9,77,66.2,56,43,40.0,36,60,40.2,23,8,2.8,0,29.5,29.5,29.5,0.00
2015,1,10,71,63.8,55,45,41.3,37,67,44.7,31,9,4.5,0,29.5,29.5,29.5,0.00
2015,1,11,64,62.0,59,54,49.6,44,83,64.3,50,9,2.5,0,29.6,29.6,29.5,0.00
2015,1,12,71,62.9,55,54,49.2,45,84,62.9,39,6,2.2,0,29.7,29.6,29.6,0.00
2015,1,13,73,62.5,52,48,33.8,23,80,40.5,17,16,5.6,0,29.7,29.6,29.6,0.00
2015,1,14,74,61.8,52,32,28.2,25,43,29.4,17,8,4.5,0,29.8,29.7,29.6,0.00
2015,1,15,74,61.6,50,35,29.8,27,44,31.7,18,8,5.1,0,29.8,29.8,29.7,0.00
2015,1,16,75,61.5,49,34,28.9,23,45,31.5,15,8,5.0,0,29.8,29.7,29.6,0.00
2015,1,17,78,63.0,50,32,29.7,25,48,31.0,15,7,4.6,0,29.8,29.7,29.7,0.00
2015,1,18,77,62.5,49,34,30.8,24,56,33.3,14,9,4.3,0,29.8,29.7,29.7,0.00
2015,1,19,80,63.5,50,39,33.0,27,59,35.4,14,9,3.9,0,29.7,29.6,29.5,0.00
2015,1,20,78,65.2,52,40,33.0,27,53,32.8,16,8,4.4,0,29.5,29.5,29.4,0.00
2015,1,21,78,68.1,59,43,26.7,11,52,24.4,10,20,7.6,0,29.7,29.5,29.4,0.00
2015,1,22,73,64.5,56,17,10.2,4,21,12.7,7,10,4.9,0,29.8,29.8,29.7,0.00
2015,1,23,69,57.8,46,19,13.7,6,30,18.8,10,10,5.9,0,29.9,29.8,29.7,0.00
2015,1,24,78,70.3,56,20,16.9,10,19,13.3,10,16,9.6,0,29.7,29.6,29.6,0.00
2015,1,25,82,70.6,61,31,24.5,18,31,18.6,11,9,5.6,0,29.6,29.6,29.5,0.00
2015,1,26,66,60.3,57,55,45.6,30,93,63.7,28,13,3.2,0,29.7,29.6,29.6,0.00
2015,1,27,69,60.7,57,55,53.2,49,94,78.1,50,7,1.5,0,29.8,29.7,29.7,0.12
2015,1,28,74,64.3,53,50,45.1,40,83,53.0,29,7,3.6,0,29.7,29.7,29.6,0.00
2015,1,29,75,68.5,61,48,42.0,38,58,39.4,26,8,4.6,0,29.6,29.6,29.5,0.00
2015,1,30,66,62.3,58,55,50.1,43,81,65.5,43,9,3.0,0,29.5,29.4,29.4,0.00
2015,1,31,71,63.9,58,51,44.9,40,78,52.2,32,15,5.3,0,29.5,29.4,29.3,0.00
2015,2,1,81,67.0,56,41,35.3,25,55,34.5,13,12,5.0,0,29.6,29.6,29.5,0.00
2015,2,2,80,65.3,53,40,34.2,26,55,34.2,15,10,5.1,0,29.6,29.6,29.5,0.00
2015,2,3,81,66.9,53,42,35.5,30,59,34.2,16,8,3.9,0,29.6,29.5,29.5,0.00
2015,2,4,83,67.6,51,42,36.7,31,71,35.3,16,9,5.2,0,29.6,29.6,29.5,0.00
2015,2,5,82,68.1,56,38,34.1,31,46,30.2,16,9,5.2,0,29.6,29.6,29.5,0.00
2015,2,6,82,68.5,55,37,32.8,29,51,28.5,14,9,3.9,0,29.6,29.6,29.6,0.00
2015,2,7,83,69.7,55,51,38.2,26,55,34.4,13,15,4.7,0,29.6,29.6,29.5,0.00
