Year,Month,Day,Temp Max,Temp Avg,Temp Min,Dew Point Max,Dew Point Avg,Dew Point Min,Humidity Max,Humidity Avg,Humidity Min,Wind Speed Max,Wind Speed Avg,Wind Speed Min,Pressure Max,Pressure Avg,Pressure Min,Precipitation Total
2015,1,1,57,45.9,37,30,22.1,13,60,41.6,18,9,5.0,0,29.9,29.9,29.8,0.00
2015,1,2,56,47.0,41,39,32.6,27,76,58.3,37,10,5.0,0,30.0,29.9,29.9,0.00
2015,1,3,57,45.8,37,43,36.0,29,86,69.5,53,10,3.6,0,30.1,30.0,29.9,0.00
2015,1,4,59,47.9,40,46,39.3,36,86,73.3,49,8,4.0,0,30.1,30.1,30.1,0.00
2015,1,5,69,51.4,39,44,38.1,33,83,63.2,33,6,2.4,0,30.1,30.0,29.9,0.00
2015,1,6,74,57.0,47,43,38.3,35,68,52.0,25,6,2.4,0,30.0,29.9,29.9,0.00
2015,1,7,77,60.0,49,43,37.0,32,69,44.4,21,8,2.5,0,29.9,29.9,29.8,0.00
2015,1,8,67,58.1,49,47,42.1,34,77,56.8,36,10,3.1,0,29.8,29.8,29.8,0.00
2015,1,9,64,55.3,51,54,46.8,39,94,74.1,46,9,2.7,0,29.8,29.8,29.7,0.00
2015,1,10,63,54.3,48,52,47.6,42,92,78.9,56,9,2.9,0,29.8,29.8,29.7,0.00
2015,1,11,58,51.7,46,52,48.0,44,100,87.6,72,9,3.2,0,29.9,29.9,29.8,0.00
2015,1,12,59,52.4,45,52,47.8,42,94,84.7,67,8,3.7,0,30.0,30.0,29.9,0.00
2015,1,13,66,51.5,45,49,44.4,40,100,79.0,40,8,4.2,0,30.0,29.9,29.9,0.00
2015,1,14,64,53.6,46,46,41.4,36,80,64.6,46,7,3.4,0,30.1,30.0,29.9,0.00
2015,1,15,68,55.5,45,52,43.0,34,88,65.8,30,12,3.1,0,30.1,30.0,30.0,0.00
2015,1,16,64,55.1,46,54,47.4,38,94,76.7,48,8,2.4,0,30.1,30.0,30.0,0.00
2015,1,17,64,56.3,49,55,50.3,45,90,81.0,60,9,3.1,0,30.0,30.0,29.9,0.00
2015,1,18,64,56.8,50,56,52.8,48,94,87.1,67,9,4.2,0,30.1,30.0,30.0,0.00
2015,1,19,64,55.0,51,54,51.4,46,100,88.1,70,7,2.6,0,30.0,30.0,29.9,0.00
2015,1,20,62,52.7,46,50,46.6,42,93,80.6,53,8,3.3,0,29.9,29.9,29.8,0.00
2015,1,21,66,52.1,42,49,41.7,39,89,70.0,40,9,4.9,0,29.9,29.9,29.8,0.00
2015,1,22,64,50.1,41,47,40.3,36,82,70.5,43,9,4.0,0,30.1,30.0,29.9,0.01
2015,1,23,70,52.8,40,47,39.9,35,86,64.6,30,8,3.3,0,30.1,30.0,30.0,0.00
2015,1,24,76,59.3,43,45,37.1,29,76,46.7,23,13,5.1,0,30.0,29.9,29.8,0.00
2015,1,25,80,63.9,53,39,28.4,21,41,27.9,11,8,3.8,0,29.9,29.8,29.7,0.00
2015,1,26,67,58.3,51,42,35.6,28,57,43.0,33,7,2.1,0,29.8,29.8,29.7,0.00
2015,1,27,66,58.0,50,52,45.1,39,83,63.3,45,8,2.3,0,30.0,29.9,29.8,0.00
2015,1,28,69,54.8,46,50,43.8,39,80,68.3,33,8,4.3,0,30.0,30.0,29.9,0.00
2015,1,29,65,53.0,44,53,45.5,40,90,77.0,48,8,3.3,0,29.9,29.9,29.8,0.00
2015,1,30,61,52.7,46,52,48.4,44,100,85.5,62,10,4.0,0,29.8,29.8,29.7,0.00
2015,1,31,72,52.9,45,50,42.5,29,93,72.7,22,10,3.9,0,29.8,29.7,29.6,0.00
2015,2,1,68,54.0,43,52,41.0,30,83,63.1,32,9,2.9,0,29.9,29.9,29.8,0.00
2015,2,2,64,54.4,44,52,43.0,35,83,66.4,43,7,2.8,0,29.9,29.9,29.8,0.00
2015,2,3,71,56.8,47,50,42.3,38,77,61.1,30,7,2.3,0,29.9,29.8,29.8,0.00
2015,2,4,61,51.6,44,52,46.3,37,96,82.1,66,10,4.0,0,29.9,29.8,29.8,0.00
2015,2,5,63,55.2,48,52,48.7,45,89,79.1,58,9,3.7,0,29.9,29.8,29.7,0.00
2015,2,6,70,62.4,52,58,52.7,46,89,71.3,57,18,11.3,0,29.8,29.7,29.6,0.00
2015,2,7,70,62.6,57,63,58.7,54,97,87.3,63,15,3.9,0,29.9,29.8,29.7,0.22
2015,2,8,70,55.9,0,61,51.4,0,100,78.3,0,22,8.4,0,29.9,29.8,29.7,0.17
2015,2,9,64,59.1,52,55,52.9,49,90,80.2,63,14,4.8,0,30.0,30.0,29.9,0.41
2015,2,10,69,55.0,45,52,45.8,42,90,73.5,39,10,5.2,0,30.0,29.9,29.8,0.02
2015,2,11,75,57.2,43,48,41.4,35,80,59.2,29,10,4.7,0,29.9,29.9,29.8,0.01
2015,2,12,77,62.1,49,44,37.5,30,71,43.8,19,10,4.2,0,29.9,29.9,29.9,0.00
2015,2,13,77,62.9,56,49,39.7,28,75,44.5,25,10,4.1,0,29.9,29.8,29.8,0.00
2015,2,14,75,60.0,50,55,46.4,39,80,62.1,37,14,4.6,0,29.8,29.8,29.8,0.00
2015,2,15,76,61.4,50,55,45.6,39,78,58.0,33,10,4.6,0,29.8,29.8,29.7,0.00
2015,2,16,63,52.9,46,52,48.5,43,100,85.4,67,13,3.2,0,29.8,29.8,29.7,0.00
2015,2,17,57,54.6,53,50,47.8,46,89,78.1,72,6,3.3,0,29.9,29.9,29.8,0.00
2015,2,18,61,56.2,53,53,49.2,46,88,78.1,63,8,3.8,0,30.0,29.9,29.9,0.00
2015,2,19,57,53.7,51,52,50.5,46,100,89.5,80,8,2.9,0,29.9,29.9,29.8,0.00
2015,2,20,69,54.9,48,54,50.3,46,100,85.0,54,8,2.9,0,29.8,29.8,29.7,0.00
2015,2,21,65,51.3,45,51,47.8,43,100,89.0,58,13,2.9,0,29.7,29.7,29.6,0.00
2015,2,22,62,55.4,48,50,43.4,34,86,65.9,36,13,4.3,0,29.6,29.6,29.6,0.01
2015,2,23,61,52.3,44,37,32.3,21,68,48.5,24,10,5.0,0,30.0,29.8,29.6,0.00
2015,2,24,65,53.6,42,48,31.0,10,80,48.0,12,9,4.5,0,30.1,30.1,30.0,0.00
2015,2,25,60,54.4,48,51,46.0,37,87,73.8,56,9,5.3,0,30.1,30.0,29.9,0.00
2015,2,26,63,55.8,48,52,48.9,43,89,77.7,60,14,6.9,0,29.9,29.8,29.7,0.00
2015,2,27,61,55.7,51,52,48.9,46,92,78.3,67,17,10.2,5,29.7,29.6,29.6,0.00
2015,2,28,57,50.9,45,50,31.1,0,100,55.0,0,9,5.1,0,29.7,29.6,29.5,0.10
2015,3,1,63,52.5,44,45,42.3,40,86,69.2,46,10,5.5,0,29.7,29.7,29.7,0.33
2015,3,2,56,51.2,45,54,45.3,40,94,80.2,69,9,4.0,0,29.7,29.6,29.6,0.00
2015,3,3,60,52.4,42,49,44.2,38,85,74.3,53,10,5.7,0,29.8,29.8,29.8,0.15
2015,3,4,66,55.6,48,49,42.7,40,80,63.5,38,9,5.7,0,30.0,29.9,29.8,0.00
2015,3,5,73,59.5,51,48,39.7,34,68,50.2,25,8,4.7,0,30.1,30.0,30.0,0.00
2015,3,6,78,59.2,48,46,35.7,19,68,46.1,12,9,5.5,0,30.0,30.0,29.9,0.00
2015,3,7,69,56.7,48,52,41.8,30,83,59.9,32,12,3.9,0,29.9,29.8,29.8,0.00
2015,3,8,63,50.3,42,52,46.9,41,100,88.3,63,9,3.5,0,29.9,29.8,29.8,0.00
2015,3,9,60,52.6,48,50,48.3,46,94,85.9,69,13,3.4,0,29.8,29.8,29.7,0.00
