Year,Month,Day,Temp Max,Temp Avg,Temp Min,Dew Point Max,Dew Point Avg,Dew Point Min,Humidity Max,Humidity Avg,Humidity Min,Wind Speed Max,Wind Speed Avg,Wind Speed Min,Pressure Max,Pressure Avg,Pressure Min,Precipitation Total
2015,1,1,54,45.3,37,41,31.9,22,93,61.5,40,8,5.4,0,30.1,30.1,30.0,0.00
2015,1,2,54,45.6,38,45,38.6,32,97,77.5,61,8,5.1,0,30.2,30.1,30.1,0.00
2015,1,3,53,45.6,39,45,41.4,37,100,85.7,71,13,5.9,0,30.3,30.2,30.1,0.00
2015,1,4,56,50.7,46,49,46.2,43,89,84.5,72,12,6.4,0,30.4,30.3,30.2,0.00
2015,1,5,57,50.6,45,47,45.4,43,97,82.9,62,7,4.0,0,30.4,30.3,30.2,0.00
2015,1,6,67,52.2,43,47,43.9,40,97,75.3,49,8,3.3,0,30.2,30.1,30.1,0.00
2015,1,7,68,57.0,50,50,45.9,42,80,67.2,49,9,6.0,0,30.1,30.1,30.0,0.00
2015,1,8,65,54.3,49,49,44.9,41,86,71.0,50,9,5.0,0,30.0,30.0,30.0,0.00
2015,1,9,56,51.4,46,53,49.8,41,100,94.4,77,10,4.9,0,30.0,30.0,29.9,0.00
2015,1,10,54,50.8,46,52,49.6,46,100,96.0,86,14,4.3,0,30.0,30.0,29.9,0.00
2015,1,11,52,48.5,44,49,45.8,43,100,90.7,80,9,4.8,0,30.2,30.1,30.0,0.00
2015,1,12,55,50.9,45,53,50.2,45,100,97.5,86,6,2.6,0,30.3,30.3,30.2,0.03
2015,1,13,58,48.8,43,49,44.7,40,100,87.1,62,8,5.0,0,30.3,30.2,30.1,0.02
2015,1,14,56,49.8,42,50,42.6,36,97,76.9,59,12,6.0,0,30.2,30.1,30.1,0.00
2015,1,15,59,54.5,50,53,47.0,40,97,76.9,51,30,17.5,5,30.2,30.1,30.0,0.00
2015,1,16,57,52.9,47,55,52.4,47,100,98.3,89,26,6.0,0,30.2,30.1,30.0,0.71
2015,1,17,58,56.1,54,57,55.8,53,100,99.1,84,32,19.0,12,30.1,30.1,30.0,0.20
2015,1,18,58,52.5,44,57,50.1,43,100,92.0,65,26,5.2,0,30.3,30.2,30.1,0.77
2015,1,19,55,47.9,39,49,42.5,36,97,82.2,66,16,7.0,0,30.4,30.3,30.2,0.00
2015,1,20,54,46.8,40,47,40.1,36,96,78.3,57,12,5.2,0,30.2,30.1,30.1,0.00
2015,1,21,53,47.5,40,47,41.2,34,93,79.3,59,9,5.2,0,30.2,30.1,30.1,0.00
2015,1,22,60,49.7,44,50,46.1,41,100,88.3,64,7,3.7,0,30.4,30.3,30.1,0.00
2015,1,23,59,51.5,43,52,48.7,43,100,90.6,62,10,4.9,0,30.4,30.4,30.3,0.00
2015,1,24,60,49.4,44,53,48.0,43,100,95.2,72,9,3.5,0,30.3,30.2,30.1,0.00
2015,1,25,71,53.9,46,51,46.3,42,100,77.9,44,10,5.0,0,30.1,30.0,29.9,0.00
2015,1,26,57,51.7,45,52,49.7,43,100,93.3,72,9,4.7,0,30.0,29.9,29.9,0.00
2015,1,27,55,50.0,46,52,48.5,46,100,94.7,86,9,4.2,0,30.2,30.1,30.0,0.00
2015,1,28,59,51.4,44,52,47.3,42,97,86.7,64,7,4.4,0,30.2,30.2,30.2,0.00
2015,1,29,56,51.7,44,51,48.6,44,100,89.5,77,13,5.9,0,30.2,30.1,30.1,0.00
2015,1,30,58,48.9,42,51,47.0,41,100,93.6,72,15,4.8,0,30.1,30.1,30.0,0.00
2015,1,31,66,53.6,45,50,43.8,39,97,71.2,43,10,4.9,0,30.1,30.0,29.9,0.00
2015,2,1,59,53.8,48,54,50.0,43,100,87.5,62,16,4.5,0,30.1,30.1,30.0,0.00
2015,2,2,56,55.4,52,56,55.3,51,100,99.4,96,15,11.6,6,30.1,30.1,30.0,0.50
2015,2,3,56,55.6,55,56,55.5,54,100,99.7,96,21,13.3,0,30.1,30.0,30.0,2.20
2015,2,4,56,54.3,53,54,53.5,50,100,97.0,80,20,10.2,6,30.0,29.9,29.7,0.39
2015,2,5,63,58.5,56,55,52.9,49,90,82.2,65,38,24.5,17,29.7,29.6,29.4,0.03
2015,2,6,59,56.9,55,58,56.3,53,100,97.7,87,39,20.4,9,29.5,29.5,29.4,1.50
2015,2,7,60,56.5,54,56,53.3,50,97,89.4,69,45,25.8,7,29.9,29.7,29.4,2.29
2015,2,8,64,57.3,51,54,51.3,48,100,81.3,60,30,14.7,0,29.9,29.6,29.5,0.36
2015,2,9,56,53.6,49,55,49.9,44,97,87.3,71,40,19.9,5,30.3,29.9,29.4,0.28
2015,2,10,54,49.3,45,47,44.1,42,93,82.8,66,9,6.0,0,30.3,30.2,30.1,0.18
2015,2,11,56,48.6,44,50,45.1,41,100,88.5,64,7,1.9,0,30.2,30.1,30.1,0.00
2015,2,12,60,49.8,41,51,46.7,41,100,90.0,62,12,3.4,0,30.2,30.1,30.1,0.00
2015,2,13,54,49.7,45,51,48.4,44,100,95.7,80,10,5.3,0,30.1,30.1,30.1,0.00
2015,2,14,61,51.3,42,52,46.8,42,100,86.2,62,13,5.4,0,30.2,30.1,30.1,0.00
2015,2,15,70,57.2,46,50,44.6,40,93,65.7,36,14,5.0,0,30.1,30.0,29.9,0.00
2015,2,16,67,54.6,49,52,46.1,39,100,75.2,40,8,5.8,0,30.0,29.9,29.9,0.00
2015,2,17,54,51.6,48,50,49.3,48,100,91.7,83,10,7.6,3,30.2,30.1,30.0,0.00
2015,2,18,55,51.6,45,51,48.9,44,100,90.6,77,12,4.0,0,30.2,30.2,30.2,0.00
2015,2,19,59,51.1,44,52,48.3,44,100,90.7,70,15,6.5,0,30.2,30.1,30.1,0.00
2015,2,20,58,54.6,51,51,48.1,41,89,79.0,66,21,13.8,8,30.1,30.1,30.0,0.00
2015,2,21,58,53.9,48,49,42.0,28,83,65.9,35,22,12.7,5,30.0,30.0,29.9,0.00
2015,2,22,59,52.8,46,46,30.8,21,67,44.1,28,16,8.2,0,30.0,30.0,30.0,0.00
2015,2,23,62,53.8,46,44,27.0,17,74,37.5,20,16,8.3,0,30.2,30.1,30.0,0.00
2015,2,24,58,50.0,42,46,34.2,22,93,58.9,30,10,5.8,0,30.3,30.3,30.3,0.00
2015,2,25,57,48.3,38,48,43.0,36,97,82.8,62,22,10.4,0,30.4,30.3,30.2,0.00
2015,2,26,56,51.1,47,52,49.7,43,100,94.9,77,16,7.6,0,30.2,30.1,29.9,0.00
2015,2,27,53,49.6,46,51,48.1,46,100,94.8,80,16,6.6,0,29.9,29.8,29.7,0.00
2015,2,28,61,50.5,42,47,41.8,31,100,76.3,38,15,7.2,0,30.0,29.8,29.7,0.23
2015,3,1,58,50.2,44,46,36.3,26,77,60.2,36,23,11.8,0,30.0,30.0,29.9,0.00
2015,3,2,54,49.9,43,45,42.3,38,83,75.4,66,26,14.9,3,30.0,29.9,29.8,0.00
2015,3,3,55,46.2,39,44,40.1,34,96,79.9,61,17,6.4,0,30.1,30.0,30.0,0.00
2015,3,4,56,47.5,39,46,41.0,35,97,79.6,57,8,4.9,0,30.2,30.1,30.0,0.00
2015,3,5,59,48.8,39,45,41.0,37,100,76.7,49,9,4.5,0,30.3,30.3,30.2,0.00
2015,3,6,55,49.0,41,49,45.1,37,100,86.8,71,13,6.9,0,30.3,30.3,30.2,0.00
2015,3,7,50,46.0,40,48,45.5,39,100,98.2,89,9,3.9,0,30.2,30.1,30.1,0.00
2015,3,8,49,46.7,44,47,45.7,44,100,96.8,90,7,2.5,0,30.1,30.1,30.0,0.00
2015,3,9,51,48.3,46,49,47.5,46,100,97.0,86,12,5.6,0,30.1,30.0,29.9,0.00
2015,3,10,54,48.8,46,50,48.0,46,100,97.1,80,18,10.9,5,29.9,29.9,29.8,0.00
